type,time,schedule,direction
local,4:30,weekday,nb
local,5:05,weekday,nb
bb,5:45,weekday,nb
ls,5:57,weekday,nb
bb,6:03,weekday,nb
ls,6:19,weekday,nb
bb,6:45,weekday,nb
ls,6:50,weekday,nb
ls,6:57,weekday,nb
bb,7:03,weekday,nb
ls,7:18,weekday,nb
bb,7:45,weekday,nb
ls,7:50,weekday,nb
ls,7:57,weekday,nb
bb,8:03,weekday,nb
ls,8:22,weekday,nb
ls,8:40,weekday,nb
local,9:15,weekday,nb
ls,9:50,weekday,nb
local,10:15,weekday,nb
local,11:10,weekday,nb
local,12:10,weekday,nb
local,13:10,weekday,nb
local,14:15,weekday,nb
ls,14:40,weekday,nb
local,15:05,weekday,nb
ls,15:45,weekday,nb
ls,16:08,weekday,nb
bb,16:22,weekday,nb
ls,16:31,weekday,nb
ls,16:40,weekday,nb
bb,16:45,weekday,nb
ls,17:08,weekday,nb
bb,17:22,weekday,nb
ls,17:31,weekday,nb
ls,17:40,weekday,nb
bb,17:45,weekday,nb
ls,18:08,weekday,nb
bb,18:22,weekday,nb
ls,18:31,weekday,nb
ls,18:45,weekday,nb
local18:50,weekday,nb
local19:30,weekday,nb
local20:30,weekday,nb
local21:30,weekday,nb
local22:30,weekday,nb
